date,symbol,name,currency,price,eps,pe_now,pe_mean,pe_median,pe_std,pe_sigma,price_low,price_fair,price_high,group,forward_pe,pb,pcf,peg,dividend_yield,ev_ebitda,wk52_low,wk52_high,wk52_pos,iv,iv_days,iv_expiry,iv_status,iv_rank,ivr_days
2026-09-03,TSLA,"Tesla, Inc.",USD,357.01,1.07,333.6542,356.3812,365.3365,36.4446,-0.6236,342.3322,381.3279,420.3236,均值~低估,165.3911,16.2314,75.4631,4.26,,128.276,297.38,498.83,29.6004,0.4334,30.0,2026-10-02,ok,20.9953,1
2026-09-03,TSM,Taiwan Semiconductor Manufactur,USD,415.5,13.5,30.7778,31.0564,30.96,1.3258,-0.2102,401.3631,419.2613,437.1595,均值~低估,19.0063,86.6524,0.8179,0.78,1.05,4.663,228.6,479.0,74.6406,0.3284,30.0,2026-10-02,ok,11.1693,1
2026-09-03,UBER,"Uber Technologies, Inc.",USD,76.45,4.56,16.7654,16.1239,16.1864,0.6479,0.9901,70.5703,73.5248,76.4793,高估~均值,17.4112,5.7095,14.9802,6.38,,21.957,65.41,101.99,30.1804,0.4031,30.0,2026-10-02,ok,53.9037,1
2026-09-03,VRT,"Vertiv Holdings, LLC",USD,256.7,4.43,57.9458,68.4914,68.7438,7.3258,-1.4395,270.9639,303.4171,335.8703,顯著低估,28.2125,20.7703,29.4635,0.86,0.1,36.872,118.7,379.935,52.826,0.5396,30.0,2026-10-02,ok,15.7342,1
2026-09-03,XLI,State Street Industrial Select ,USD,172.78,6.0317,28.6455,29.5469,29.6336,0.8118,-1.1104,173.3204,178.2169,183.1133,顯著低估,,1.7562,,,1.15,,147.14,188.19,62.4604,0.2656,30.0,2026-10-02,ok,75.1891,1
2026-09-03,XLV,State Street Health Care Select,USD,172.95,5.6107,30.8248,28.0846,28.3305,1.7081,1.6042,147.9923,157.5758,167.1593,顯著高估,,1.3591,,,1.56,,133.73,176.6,91.4859,0.1877,30.0,2026-10-02,ok,61.2275,1
2026-09-04,000660.KS,SK hynix,KRW,1596000.0,,,,,,,,,,無法判讀,3.4204,,8.9259,0.17,0.09,7.44,0.0,2987000.0,53.4315,,,,no_market,,0
2026-09-04,2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,TWD,2390.0,85.56,27.9336,27.5044,27.7583,0.9591,0.4475,2271.2181,2353.2778,2435.3375,高估~均值,16.8157,9.6352,23.5241,0.73,1.17,18.807,1160.0,2535.0,89.4545,,,,no_market,,0
2026-09-04,AAPL,Apple Inc.,USD,328.21,8.71,37.682,35.1711,35.4168,1.8058,1.3905,290.6112,306.3399,322.0686,顯著高估,34.4031,44.5937,32.646,2.56,0.33,28.367,225.95,344.57,86.2081,0.2582,29.0,2026-10-02,ok,56.0337,3
2026-09-04,ADBE,Adobe Inc.,USD,285.75,17.49,16.3379,13.9111,14.0723,1.4367,1.6892,218.1768,243.3044,268.4321,顯著高估,10.3916,9.8988,10.8373,0.7,,11.581,190.12,370.86,52.9103,0.5273,29.0,2026-10-02,ok,75.3473,2
